0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:34 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:36 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:40 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:41 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:43 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:43 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:44 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:46 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:47 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:51 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:51 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:54 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:01:33 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:23 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:23 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:23 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:25 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:28 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
