id,name,group,height,weight,life_span
24,"Bearded Collie"," Herding Dogs"," 1 foot, 8 inches to 1 foot, 10 inches tall at the shoulder"," 45 to 55 pounds"," 12 to 14 years"
25,"Bedlington Terrier"," Terrier Dogs"," 1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder"," 17 to 23 pounds"," 14 to 16 years"
26,"Belgian Malinois"," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 40 to 80 pounds"," 12 to 14 years"
27,"Belgian Sheepdog"," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 60 to 75 pounds"," 10 to 12 years"
28,"Belgian Tervuren"," Herding Dogs"," 1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder"," 40 to 70 pounds"," 10 to 12 years"
29,"Berger Picard"," Herding Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 50 to 70 pounds"," 13 to 14 years"
30,Bernedoodle," Mixed Breed Dogs"," From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard"," From 10 to 90 pounds"," 12 to 18 years. Tiny Bernedoodles tend to live longer than standard."
31,"Bernese Mountain Dog"," Working Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 70 to 115 pounds"," 6 to 8 years"
32,"Bichon Frise"," Companion Dogs"," 9 inches to 11 inches tall at the shoulder"," 7 to 12 pounds"," 12 to 15 years"
33,"Black and Tan Coonhound"," Hound Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 75 to 100 pounds"," 10 to 12 years"
34,"Black Mouth Cur"," Working Dogs"," 16 to 25 inches"," 40 to 95 pounds"," 12 to 18 years"
35,"Black Russian Terrier"," Working Dogs"," 2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder"," 80 to 140 pounds"," 10 to 11 years"
36,Bloodhound," Hound Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 80 to 110 pounds"," 11 to 15 years"
37,"Bluetick Coonhound"," Hound Dogs"," 1 foot, 11 inches to 2 feet, 6 inches tall at the shoulder"," 45 to 100 pounds"," 10 to 12 years"
38,Boerboel," Working Dogs"," 22 to 28 inches"," 110 to 200 pounds"," 10 to 12 years"
39,Bolognese," Companion Dogs"," 9 inches to 1 foot tall at the shoulder"," 8 to 14 pounds"," 12 to 14 years"
